source_id,question_number,section_type,primary_target,subtype,secondary_features,sentence_word_count,clause_count,correct_answer,error_span_position,error_span_span_type,error_span_tested_error_type,error_span_error_explanation,error_span_minimal_correction,A_is_error,A_grammatical_role,A_why_plausible_as_test_target,B_is_error,B_grammatical_role,B_why_plausible_as_test_target,C_is_error,C_grammatical_role,C_why_plausible_as_test_target,D_is_error,D_grammatical_role,D_why_plausible_as_test_target,error_location,error_scope,vocabulary_domain,syntactic_complexity,error_detectability,distractor_plausibility,estimated_difficulty_ai,taxonomy_issue,taxonomy_issue_reason
Practice Test B,26,Written Expression,NONFINITE_VERB_PHRASES,"gerund required after preposition 'from' (escaping, not escape)",,12,1,C,C,gerund_phrase,wrong_verb_form,"A preposition must be followed by a gerund (or noun), not a bare verb form; 'from' requires 'escaping'.",change 'escape' to 'escaping',False,adjective,modifies 'field'; correctly formed.,False,verb_phrase,modal + main verb; correctly formed.,True,verb_phrase,"looks like a plain noun/verb naming the action, obscuring that the preceding preposition requires a gerund.",False,noun_phrase,object of 'into'; correctly formed.,late,local,astronomy/planetary science,2,2,2,2,False,
Practice Test B,27,Written Expression,VERB_FORM_VOICE,"passive voice requires a past participle after 'be' (valued, not value)",subordinate clause with 'Although',21,2,B,B,verb_phrase,wrong_verb_form,"The pecan tree is the entity being valued, so the passive requires the past participle 'valued' after 'is chiefly', not the bare verb form.",change 'value' to 'valued',False,conjunction,introduces the concessive clause; correctly used.,True,main_verb,"reads like a plain present-tense verb, masking that the preceding 'is chiefly' requires a passive participle instead.",False,main_verb,main verb of the second clause; correctly passive and agreeing with 'wood'.,False,preposition,introduces the list of uses; correctly used.,early,local,botany/forestry,2,2,2,2,False,
Practice Test B,28,Written Expression,REFERENCE_AND_DETERMINERS,plural noun required after cardinal number 'three',participial phrase 'Born in Texas';gerund phrase 'before publishing',24,1,B,B,noun_phrase,agreement_error,"The numeral 'three' requires a plural countable noun, but the singular form is used instead.",change 'collection' to 'collections',False,noun_modifier,opening participial phrase; correctly formed.,True,noun_phrase,"the singular form looks natural read alone, but conflicts with the preceding numeral 'three'.",False,gerund,object of 'before'; correctly formed gerund.,False,noun_phrase,part of the title/object phrase; correctly formed.,middle,local,literature/biography,1,2,2,1,False,
Practice Test B,29,Written Expression,PARALLEL_STRUCTURE,"parallel nouns in a three-item coordinate subject list (protection, not protect)",,18,1,A,A,verb_phrase,incorrect_part_of_speech,"The subject is a three-item coordinate list of nouns ('Insulation', ___, 'and camouflage'); the verb form breaks the required parallel noun pattern.",change 'protect' to 'protection',True,subject,"reads like a normal verb naming an action, obscuring that it must match the noun form of the other list items.",False,preposition,introduces the objects of the second list item; correctly used.,False,main_verb,main verb of the sentence; correctly agrees with the plural compound subject.,False,noun_phrase,object of 'among'; correctly formed.,early,clause_level,zoology/biology,3,3,3,3,False,
Practice Test B,30,Written Expression,WORD_CLASS_FORM,"adjective required to modify a noun (recent surge), not adverb form (recently)",noun clause 'that students are not sufficiently involved...',23,2,C,C,adverb,incorrect_part_of_speech,"The word directly modifies the noun 'surge', which requires an adjective, but the adverb form is used instead.",change 'recently' to 'recent',False,noun_phrase,subject noun phrase with a noun clause complement; correctly formed.,False,main_verb,main verb of the sentence; correctly agrees with 'the notion'.,True,adjective,"an adverb before a noun phrase can look like a normal time expression, masking that a noun modifier needs the adjective form.",False,noun_phrase,object of 'for'; correctly formed.,late,local,education/higher education,2,3,3,2,False,
Practice Test B,31,Written Expression,VERB_COMPLEMENTATION,"bare infinitive required after 'help + object' (help...solve, not solved)",introductory phrase 'As secretary of transportation...',25,1,C,C,verb_phrase,wrong_verb_form,"'Help' followed by an object takes a bare infinitive (or 'to'-infinitive) complement, not a past-tense form; the object 'the bankrupt railroads' needs 'solve' their financial problems.",change 'solved' to 'solve',False,preposition,introduces the opening role phrase; correctly used.,False,verb_phrase,main verb plus infinitive complement; correctly formed as far as 'worked to help' goes.,True,verb_phrase,"reads like a natural past-tense verb continuing the narrative, obscuring that the causative pattern 'help + object' requires a bare infinitive.",False,adjective,modifies 'problems'; correctly formed.,sentence_final,clause_level,transportation/government history,3,3,3,3,False,
Practice Test B,32,Written Expression,VERB_COMPLEMENTATION,"predicate adjective required after linking verb 'be' (evident, not adverb evidently)",relative clause introduced by 'where',17,2,A,A,adverb,incorrect_part_of_speech,"After the linking verb 'are', a predicate adjective describing 'Faults' is required, but the adverb form is used instead.",change 'evidently' to 'evident',True,predicate_adjective,"immediately follows 'most', which looks like a normal intensifier-plus-adverb pair, but the linking verb before it requires an adjective.",False,adjective,modifies 'formations'; correctly formed.,False,relative_pronoun,introduces the relative clause; correctly used for a place antecedent.,False,main_verb,verb of the relative clause; correctly agrees with 'they'.,middle,local,geology,2,2,2,2,False,
Practice Test B,33,Written Expression,VERB_COMPLEMENTATION,"verb + preposition collocation ('benefit from', not 'benefit of')",,11,1,B,B,prepositional_phrase,wrong_preposition_collocation,'Benefit' collocates with the preposition 'from' to introduce its source; 'of' does not fit this verb-preposition pattern.,change 'of' to 'from',False,adjective,participial adjective modifying 'plants'; correctly formed.,True,preposition,"a common general-purpose preposition that looks acceptable in many contexts, but does not collocate with 'benefit' here.",False,adjective,modifies 'butterflies'; correctly formed.,False,noun_phrase,coordinate object of 'by'; correctly formed.,early,local,botany/entomology,1,2,2,1,False,
Practice Test B,34,Written Expression,WORD_CLASS_FORM,"ordinal number required in a century expression (fifteenth, not cardinal fifteen)",reduced relative clause 'spoken at the time of...',27,1,D,D,adjective,incorrect_part_of_speech,"A century must be named with an ordinal number ('fifteenth'), but the cardinal number form is used instead.",change 'fifteen' to 'fifteenth',False,quantifier,quantifying phrase before the subject noun; correctly formed.,False,noun_modifier,reduced relative clause modifying 'languages'; correctly formed.,False,noun_phrase,object of 'of' inside the time phrase; correctly formed.,True,adjective,"a plain number looks like ordinary usage, but a century name specifically requires the ordinal form.",sentence_final,local,linguistics/anthropology,2,3,3,2,False,
Practice Test B,35,Written Expression,REFERENCE_AND_DETERMINERS,"demonstrative pronoun required to head a postmodified phrase (those of X, not personal pronoun them)",non-restrictive relative clause with 'whose',19,2,D,D,pronoun,incorrect_part_of_speech,The personal pronoun 'them' cannot be followed by an 'of'-phrase to stand for 'the sounds'; only the demonstrative pronoun 'those' can head such a postmodified phrase.,change 'them' to 'those',False,relative_pronoun,introduces the possessive relative clause; correctly formed.,False,verb_phrase,verb of the relative clause; correctly agrees with 'works'.,False,preposition,introduces the second coordinated element; correctly used.,True,pronoun,"correctly matches 'sounds' in number, which can mask that its grammatical type cannot take a following 'of' modifier.",sentence_final,clause_level,music/biography,3,4,3,4,False,
Practice Test B,36,Written Expression,CONNECTORS_CONJUNCTIONS,preposition choice incompatible with a paired 'until' phrase (during vs. from...until),restrictive relative clause 'that has persisted',31,2,B,B,prepositional_phrase,wrong_preposition_collocation,'During' marks a bounded period and cannot pair with a following 'until' phrase; the correlative preposition 'from' is required to combine with 'until the present day'.,change 'during' to 'from',False,subject,subject noun phrase of the sentence; correctly formed.,True,preposition,"a common preposition for time periods that looks fine on its own, but does not correlate with the following 'until' phrase.",False,preposition,introduces the final prepositional phrase; correctly used.,False,noun_phrase,object of 'of'; correctly formed.,early,clause_level,economics/agriculture,3,4,3,4,False,
Practice Test B,37,Written Expression,REFERENCE_AND_DETERMINERS,"plural noun required after quantifier 'several' (settings, not setting)",non-restrictive relative clause 'most of which';restrictive relative clause 'that make up',26,3,B,B,noun_phrase,agreement_error,"The quantifier 'several' requires a plural countable noun, but the singular form is used instead.",change 'setting' to 'settings',False,main_verb,main verb of the sentence; correctly agrees with 'Volcanism'.,True,noun_phrase,"the singular form looks fine on its own, but conflicts with the plural sense required by the preceding quantifier 'several'.",False,adjective,modifies 'plates'; correctly formed.,False,verb_phrase,verb of the final relative clause; correctly agrees with 'plates'.,early,local,geology/earth science,2,2,2,2,False,
Practice Test B,38,Written Expression,WORD_ORDER_MODIFICATION,"attributive adjective misplaced after its noun instead of before it (native plants, not plants native)",relative clause with omitted relative pronoun 'they made';appositive phrase 'an illness similar to malaria',24,2,C,C,noun_phrase,wrong_word_order,The attributive adjective 'native' must precede the noun it modifies in this context; placing it after 'plants' produces an ungrammatical sequence before the infinitive of purpose.,change 'plants native' to 'native plants',False,main_verb,main verb of the sentence; correctly formed.,False,verb_phrase,verb of the reduced relative clause; correctly agrees with 'medicines'.,True,noun_phrase,"each word is individually correct, so only checking their order against normal adjective placement reveals the reversal.",False,noun_phrase,appositive describing 'ague'; correctly formed.,middle,local,history/medicine,3,3,3,3,False,
Practice Test B,39,Written Expression,PARALLEL_STRUCTURE,"parallel adjectives in a coordinate list (slender, not slenderness)","participial phrase 'being long, slender, wingless, and brownish'",17,1,C,C,adjective,incorrect_part_of_speech,"The word sits in a four-item coordinate list of adjectives describing the insects ('long, ___, wingless, and brownish'); the noun form breaks the required parallel adjective pattern.",change 'slenderness' to 'slender',False,subject,subject of the sentence; correctly formed.,False,verb_phrase,introduces the participial phrase; correctly formed.,True,adjective,"looks like a normal descriptive word, but its noun form breaks parallelism with the surrounding adjectives.",False,adjective,final item in the coordinate list; correctly an adjective.,late,clause_level,entomology/zoology,2,3,2,2,False,
Practice Test B,40,Written Expression,WORD_CLASS_FORM,"adverb required to modify the main verb 'add' (intentionally, not adjective intentional)",restrictive relative clause 'that food manufacturers...add',14,2,C,C,adjective,incorrect_part_of_speech,"The word modifies the verb 'add', which requires an adverb, but the adjective form is used instead.",change 'intentional' to 'intentionally',False,noun_phrase,subject complement noun; correctly formed.,False,quantifier,determiner introducing the relative clause's antecedent; correctly used.,True,adverb,"immediately precedes the verb it modifies and looks like a natural descriptive word, but is in adjective rather than adverb form.",False,noun_phrase,object of 'to'; correctly formed.,late,local,food science/chemistry,1,1,1,1,False,
Practice Test C,16,Written Expression,PARALLEL_STRUCTURE,"parallel adjectives in coordinate list modifying a noun (straight, ___, and hollow)",adjective vs adverb confusion;relative clause modifying stem,16,2,B,B,adjective,incorrect_part_of_speech,"The word sits in a three-item coordinate list of adjectives modifying 'stem' ('straight, ___, and hollow'); the adverb form breaks the required parallel adjective pattern.",change 'smoothly' to 'smooth',False,subject,"head noun of the subject phrase; a test-taker might check it for number agreement with the verb, but it is correctly singular.",True,adjective,"looks like a normal adverb formed with -ly, but the surrounding coordinate list requires an adjective, not an adverb.",False,relative_pronoun,"introduces a restrictive relative clause; a test-taker might question whether 'that' is the right relative marker, but it is correct for a thing antecedent.",False,adjective,"part of another coordinate adjective pair ('white, milky'); could be checked for parallel form but is correctly an adjective.",middle,local,botany,2,3,2,2,False,
Practice Test C,17,Written Expression,REFERENCE_AND_DETERMINERS,quantifier agreement with countable plural noun (much vs many),relative clause with countable subject,28,2,A,A,quantifier,agreement_error,"'much' is a quantifier for uncountable nouns, but 'factors' is a countable plural noun, so 'many' is required.",change 'much' to 'many',True,quantifier,"quantifiers are frequently tested, but a test-taker must know the countable/uncountable distinction to catch this specific mismatch.",False,main_verb,"past-tense verb in the relative clause; could be checked for tense consistency with the main clause, but it is correct.",False,noun_phrase,"object of a preposition; a test-taker might wonder about article use, but it is fine.",False,subject,"subject of the main clause; could be checked for agreement with 'was', which is correct since 'one' is singular.",sentence_initial,local,tourism history,3,2,2,2,False,
Practice Test C,18,Written Expression,CLAUSE_STRUCTURE,double subject / resumptive pronoun duplicating an already-stated subject,passive construction with infinitive complement,19,1,B,B,pronoun,double_subject,"'Alberta' already functions as the subject, so the resumptive pronoun 'it' creates a redundant second subject; the clause needs a single subject-verb sequence.",delete 'it' (change 'Alberta it is believed' to 'Alberta is believed'),False,noun_phrase,"part of the long subject noun phrase naming the province; could be checked for article use, but it is correct.",True,pronoun,"resembles the common 'it is believed that' construction, making it look acceptable, but here it duplicates the existing subject 'Alberta'.",False,infinitive_marker,"infinitive complement after 'believed'; a test-taker might question the form, but it is correct.",False,noun_phrase,"superlative noun phrase; could be checked for adjective order, but it is correctly formed.",early,sentence_level,geology/natural resources,2,3,3,3,False,
Practice Test C,19,Written Expression,NONFINITE_VERB_PHRASES,finite verb incorrectly used where a participial phrase is required after a comma,comma splice;subject-verb agreement mismatch (poems...uses),14,1,C,C,verb_phrase,wrong_verb_form,"After the comma, a participial phrase describing the poems is needed ('using elaborate rhyme...'); a second finite verb creates a comma splice and also fails to agree with the plural subject 'poems'.",change 'uses' to 'using',False,auxiliary,links subject to two predicate adjectives; agreement with plural 'poems' is correct.,False,predicate_adjective,one of the coordinate predicate adjectives; correctly parallel with 'carefully constructed'.,True,main_verb,"reads like a normal present-tense verb, so it looks acceptable in isolation, but it wrongly restarts the sentence as a second finite clause.",False,adjective,"modifies 'rhyme'; correctly an adjective, though a test-taker might scan it as part of the suspicious final clause.",late,cross_clause,literature/poetry,2,3,3,3,False,
Practice Test C,20,Written Expression,REFERENCE_AND_DETERMINERS,comparative exclusion phrase 'any other' vs. 'another',,10,1,D,D,determiner,incorrect_part_of_speech,'another' means 'one additional' and cannot combine with 'any' in a comparative exclusion phrase; 'other' is required in 'any other state'.,change 'another' to 'other',False,main_verb,main verb of the sentence; correctly agrees with the singular subject 'California'.,False,noun_phrase,"prepositional phrase modifying 'land'; could be checked for preposition choice, but 'under irrigation' is standard.",False,conjunction,introduces the comparative phrase; correctly used with 'more'.,True,determiner,'another' sounds close in meaning to 'other' and is a common near-synonym error for learners.,sentence_final,local,geography/agriculture,1,3,3,2,False,
Practice Test C,21,Written Expression,VERB_COMPLEMENTATION,prepositional complementation of a noun ('paintings of' vs. 'onto'),,20,1,B,B,prepositional_phrase,wrong_preposition_collocation,'paintings' pairs with 'of' to indicate subject matter ('paintings of landscapes'); 'onto' implies physical motion and does not collocate with 'paintings' in this sense.,change 'onto' to 'of',False,adjective,part of a coordinate adjective pair modifying 'paintings'; correctly parallel with 'magnificent'.,True,preposition,"a plausible-sounding preposition of direction, but wrong for the noun-complement relationship between 'paintings' and 'landscapes'.",False,preposition,prepositional phrase modifying 'spirit'; correctly formed.,False,adjective,modifies 'century'; correctly placed and formed.,early,local,art history,2,3,3,2,False,
Practice Test C,22,Written Expression,REFERENCE_AND_DETERMINERS,possessive pronoun form before a noun (hers vs. her),,28,2,C,C,pronoun,incorrect_part_of_speech,'hers' is an absolute possessive pronoun that stands alone and cannot directly modify a following noun; the determiner form 'her' is required before 'poems'.,change 'hers' to 'her',False,noun_phrase,head of a superlative noun phrase in the appositive; correctly plural.,False,preposition,introduces the accompanying-circumstance phrase; correctly used.,True,pronoun,"looks like a normal possessive pronoun, but the absolute form cannot precede a noun the way a determiner can.",False,noun_phrase,object of a preposition in the relative clause; correctly formed.,middle,local,literature/poetry,3,2,2,2,False,
Practice Test C,23,Written Expression,REFERENCE_AND_DETERMINERS,"pronoun-antecedent number agreement (it vs. them, referring to a plural antecedent)",colon introducing supporting clause,24,3,D,D,pronoun,incorrect_reference,"The pronoun refers back to 'corals', a plural antecedent, so the plural pronoun 'them' is required rather than singular 'it'.",change 'it' to 'them',False,predicate_adjective,predicate adjective after 'is'; correctly formed.,False,adverb,intensifying adverb before 'fragile'; correctly used.,False,noun_phrase,subject of the final clause; correctly formed possessive-noun phrase.,True,pronoun,"immediately follows singular-looking 'hand', which could mislead a reader into thinking singular agreement is correct, when the true antecedent is the plural 'corals'.",sentence_final,sentence_level,marine biology/environmental science,3,2,3,2,False,
Practice Test C,24,Written Expression,NONFINITE_VERB_PHRASES,gerund required after a preposition ('for organizing'),,21,2,B,B,gerund_phrase,wrong_verb_form,"A preposition must be followed by a gerund (or noun), not a bare verb; 'for' requires 'organizing'.",change 'organize' to 'organizing',False,auxiliary,part of the passive-like adjectival phrase 'is well known'; correctly formed.,True,verb_phrase,"looks like a plain verb naming the action, but a gerund is required after the preceding preposition.",False,noun_modifier,compound noun modifying 'march'; correctly formed and hyphenation is not required.,False,verb_phrase,verb of the relative clause; correctly agrees with 'march'.,middle,local,history/civil rights,2,2,2,2,False,
Practice Test C,25,Written Expression,VERB_FORM_VOICE,modal auxiliary followed by a third-person singular verb form (should be base form),relative clause verb,17,2,C,C,verb_phrase,wrong_verb_form,"A modal auxiliary such as 'may' must be followed by the base form of the verb, not the third-person -s form.",change 'travels' to 'travel',False,noun_phrase,subject noun phrase of the main clause; correctly formed.,False,relative_pronoun,introduces the relative clause; correct choice for a thing antecedent ('waves').,True,main_verb,"looks like an ordinary present-tense verb agreeing with a singular noun nearby, obscuring that a modal directly precedes it and requires the base form.",False,noun_phrase,adverbial prepositional phrase of extent; correctly formed.,middle,local,physics/atmospheric science,2,2,2,1,False,
Practice Test C,26,Written Expression,VERB_FORM_VOICE,active voice used where passive voice is required (by-agent phrase indicates a patient subject),reduced appositive phrase;participial phrase 'returning from',22,1,B,B,verb_phrase,wrong_voice,"The following 'by Spaniards' agent phrase signals that 'manioc' is the entity acted upon, so the verb must be passive ('was introduced'), not active.",change 'was introducing' to 'was introduced',False,noun_modifier,past participle modifying 'plants' in the opening appositive; correctly passive in form.,True,main_verb,"active past progressive looks like a normal way to describe a historical process, masking the mismatch with the following by-agent phrase.",False,verb_phrase,participial phrase modifying 'Spaniards'; correctly active in form since Spaniards are doing the returning.,False,noun_phrase,object of 'from'; correctly formed proper noun phrase.,middle,clause_level,agricultural history,3,3,3,3,False,
Practice Test C,27,Written Expression,CONNECTORS_CONJUNCTIONS,preposition selection for a numeric range ('between X and Y' vs. 'beside'),,18,1,A,A,prepositional_phrase,wrong_preposition_collocation,'Beside' means 'next to' and cannot introduce a numeric range; 'Between' is required with the following 'X and Y' pattern.,change 'Beside' to 'Between',True,preposition,"sounds similar to 'between' and is phonetically close, making it an easy substitution to overlook.",False,adverb,intensifying adverb before 'all'; correctly used.,False,main_verb,main verb of the sentence; correctly agrees with the plural subject 'people'.,False,adjective,modifies 'series'; correctly formed and placed.,sentence_initial,local,human biology/development,2,2,2,2,False,
Practice Test C,28,Written Expression,REFERENCE_AND_DETERMINERS,countable noun plural required after a quantifying phrase ('a swarm of particles'),time clause with 'when';reduced passive participial phrase 'generated by',25,2,D,D,noun_phrase,agreement_error,"'a swarm of' quantifies a mass of discrete countable items, so the following noun must be plural ('particles'), not singular.",change 'particle' to 'particles',False,conjunction,introduces the time clause; correctly used to link the two events.,False,verb_phrase,main verb of the subordinate clause; correctly agrees with 'the Earth'.,False,quantifier,quantifying phrase preceding the noun in question; correctly formed on its own.,True,noun_phrase,"the singular form looks fine read on its own, but conflicts with the plural sense required by the preceding quantifying phrase 'a swarm of'.",late,local,astronomy/meteorology,3,3,3,2,False,
Practice Test C,29,Written Expression,NONFINITE_VERB_PHRASES,reduced participial phrase requiring a past participle (passive sense: 'all maintained in...'),passive voice;reduced from relative clause 'which are all maintained',21,1,C,C,participial_phrase,wrong_verb_form,"The phrase describes the plant and animal life as being kept in balance (a passive, non-finite modifier reduced from 'which are all maintained'), so the past participle is required rather than a finite active verb form.",change 'maintain' to 'maintained',False,verb_phrase,main verb of the sentence; correctly passive and agreeing with 'Ponds'.,False,noun_phrase,object of 'for'; correctly formed noun phrase.,True,verb_phrase,"reads like a plain present-tense verb agreeing with 'all', concealing that a non-finite passive participle is needed instead.",False,noun_phrase,object of the preposition 'in'; correctly formed.,late,clause_level,ecology,2,3,3,3,False,
Practice Test C,30,Written Expression,REFERENCE_AND_DETERMINERS,plural noun required after 'one of the' + superlative,,20,1,D,D,noun_phrase,agreement_error,"The construction 'one of the ten largest ___' requires a plural noun, since it selects one member from a plural set of items.",change 'industry' to 'industries',False,main_verb,main verb of the sentence; correctly agrees with singular 'cinema'.,False,noun_phrase,predicate nominative after 'became'; correctly formed.,False,adjective,superlative adjective phrase; correctly formed.,True,noun_phrase,"singular form looks natural on its own, but the preceding 'one of the ten largest' requires a plural set noun.",sentence_final,local,film history/economics,2,2,2,2,False,
Practice Test C,31,Written Expression,WORD_CLASS_FORM,"adverb required to modify the main verb (thoroughly, not the adjective thorough)",infinitive phrase of purpose 'To improvise effectively',15,1,B,B,adjective,incorrect_part_of_speech,"The word modifies the verb 'understand', which requires an adverb, but the adjective form is used instead.",change 'thorough' to 'thoroughly',False,verb_phrase,"infinitive phrase of purpose opening the sentence; correctly formed, paralleling the adverb 'effectively'.",True,adverb,"immediately precedes the verb it modifies and looks like a natural intensifier, but is in adjective rather than adverb form.",False,noun_phrase,object of the main verb; correctly formed.,False,adjective,participial adjective modifying 'musical style'; correctly formed.,middle,local,music,2,2,2,2,False,
