source_id,question_number,section_type,primary_target,subtype,secondary_features,sentence_word_count,clause_count,correct_answer,correct_answer_reason,A_is_correct,A_error_type,A_error_explanation,B_is_correct,B_error_type,B_error_explanation,C_is_correct,C_error_type,C_error_explanation,D_is_correct,D_error_type,D_error_explanation,vocabulary_domain,syntactic_complexity,distractor_similarity,estimated_difficulty_ai,taxonomy_issue,taxonomy_issue_reason
Practice Test B,11,Structure,NONFINITE_VERB_PHRASES,participial phrase of result ('thereby' + -ing),result_expression,14,1,C,The participial phrase correctly expresses the result of the preceding clause without requiring its own subject or conjunction.,False,fragment,"A bare verb form cannot attach after a comma without a subject or connector, producing a fragment.",False,wrong_complementation,Coordinates a conjunction with an infinitive where the finite verb of the main clause requires a parallel non-finite result form instead.,True,,,False,double_subject,"Combines a relative pronoun with a redundant pronoun, duplicating the subject of the clause.",biology/health science,2,3,3,False,
Practice Test B,12,Structure,INVERSION,subject-auxiliary inversion after fronted negative adverbial ('Not until...'),passive_voice;past_perfect_tense,16,2,C,"The fronted negative adverbial requires subject-auxiliary inversion in the main clause, which this option correctly applies.",False,extraneous_element,Adds a redundant wh-word that does not fit the required inverted structure.,False,incorrect_subordinator,Introduces a noun clause instead of the inverted main clause the fronted negative requires.,True,,,False,fragment,A bare noun phrase cannot serve as the finite main clause the sentence requires.,geography/natural landmarks,4,3,4,False,
Practice Test B,13,Structure,NONFINITE_VERB_PHRASES,infinitive modifying ordinal/superlative noun ('the first...to'),relative_clause_on_subject,25,2,C,"The infinitive correctly modifies the preceding ordinal noun phrase, matching the idiomatic 'the first [noun] to [verb]' pattern.",False,double_subject,"Adds a redundant pronoun alongside the relative-pronoun function of 'that', duplicating the subject.",False,extraneous_element,"A finite verb here conflicts with the sentence's main verb later on, producing two unconnected predicates.",True,,,False,wrong_verb_form,"A gerund is used instead of the required infinitive, and a redundant object pronoun is added.",US history/exploration,3,3,3,False,
Practice Test B,14,Structure,WORD_ORDER_MODIFICATION,noun + postpositive adjective phrase word order,participial_phrase_modifier,23,1,D,"The head noun is placed first, followed by the adjective phrase that logically and grammatically modifies it.",False,wrong_word_order,Reverses the required noun-adjective-prepositional phrase sequence into an ungrammatical order.,False,missing_required_element,"Omits the head noun, leaving the adjective with nothing to modify.",False,wrong_word_order,"Reverses the two nouns, producing an illogical and ungrammatical phrase.",True,,,theater/literature,3,4,4,False,
Practice Test B,15,Structure,EXISTENTIAL_EXPLETIVE,expletive 'there + be' construction vs. pronoun/determiner,relative_clause_on_appositive;appositive_phrase,19,2,B,The expletive 'there + be' construction correctly introduces the existence of the following plural noun phrase.,False,incorrect_reference,"The pronoun has no preceding noun to serve as its antecedent, making the reference invalid.",True,,,False,fragment,A prepositional fragment cannot begin an independent clause.,False,missing_required_element,A bare determiner cannot function as a subject without an immediately following noun that completes the sentence.,geography/economics,3,2,2,False,
Practice Test C,1,Structure,VERB_COMPLEMENTATION,predicate nominative after linking verb (be + NP),prepositional_phrase_adjunct;superlative_construction,14,1,D,A correctly ordered adjective + superlative + noun phrase serves as the subject complement of the linking verb 'is'.,False,extraneous_element,"Inserts a second finite verb ('is') after the noun, producing an ungrammatical double predicate.",False,missing_required_element,Adds a relative pronoun but omits the verb the relative clause needs (e.g. 'that is most abundant').,False,extraneous_element,"Adds a relative pronoun after the complete noun phrase with no following clause, leaving a dangling fragment.",True,,,geology/mineralogy,2,4,2,False,
Practice Test C,2,Structure,NONFINITE_VERB_PHRASES,gerund vs. infinitive complement selection (continue + to-infinitive),reduced_participial_phrase_modifier;parallel_noun_phrases,19,1,C,"The to-infinitive correctly completes the verb 'continues', matching the idiomatic 'continue to V' complement pattern.",False,wrong_complementation,'for' plus a gerund is not licensed as the complement of 'continues'.,False,incorrect_part_of_speech,Substitutes a noun for the required verb form after 'continues'.,True,,,False,wrong_verb_form,A bare verb form is used where the infinitive marker 'to' is required.,linguistics,2,3,3,False,
Practice Test C,3,Structure,ADVERBIAL_CLAUSES,conditional/time clause introduced by 'whenever',comparative_clause_ellipsis;participial_phrase_modifier,22,3,B,The subordinator correctly heads a full finite clause (subject + verb) expressing the indefinite-time/condition relation to the main clause.,False,incorrect_part_of_speech,A participle is used where a subordinating conjunction is required to head the clause.,True,,,False,wrong_word_order,"Inserts an extra subject and modal between the subordinator and the clause's actual subject, scrambling the expected order.",False,missing_required_element,A bare verb form cannot connect the following clause to the sentence; no subordinating conjunction is supplied.,earth science/hydrology,4,3,4,False,
Practice Test C,4,Structure,WORD_ORDER_MODIFICATION,adjective order within a noun phrase (direct object),gerund_phrase_of_purpose,16,1,C,The article + adjective + noun sequence correctly forms the direct object of the transitive verb 'devised'.,False,extraneous_element,"Adds a preposition before the noun phrase, blocking it from functioning as the required direct object.",False,extraneous_element,"Inserts a full finite clause where a noun phrase object is required, creating an ungrammatical double predicate.",True,,,False,wrong_word_order,Reverses the expected adjective-noun order and strands the adjective after 'of' with no noun following.,geophysics/seismology,2,3,2,False,
Practice Test C,5,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification,prepositional_phrase_time_adjunct,20,1,C,Only this option supplies the finite verb needed to complete the sentence's sole independent clause.,False,fragment,"The relative pronoun 'who' subordinates the verb into a relative clause, leaving no main verb for the sentence.",False,fragment,The gerund plus relative-pronoun combination is non-finite and cannot serve as the sentence's main predicate.,True,,,False,fragment,The infinitive form is non-finite and cannot function as the required main verb.,US social/economic history,2,4,2,False,
Practice Test C,6,Structure,WORD_ORDER_MODIFICATION,word order within fixed exemplifying phrase ('of such things as'),parallel_noun_phrases_in_list;present_perfect_tense,21,1,A,The words are ordered correctly to form the fixed exemplifying phrase governing the following list of nouns.,True,,,False,wrong_word_order,Rearranges the same four words into an order that is not a valid English phrase.,False,wrong_word_order,"Places the preposition after the noun it should precede, producing an invalid sequence.",False,wrong_word_order,Scrambles the four words into a sequence with no grammatical reading.,materials science/manufacturing,2,5,3,False,
Practice Test C,7,Structure,NOUN_CLAUSES,embedded question with infinitive (wh-word + to-infinitive),that_clause_as_subject_complement;modal_need_not,21,2,B,The wh-word correctly introduces the embedded infinitival question functioning as the object of 'tell readers'.,False,incorrect_subordinator,"Uses a relative pronoun rather than the interrogative word required to introduce the embedded question, paired with the wrong non-finite form.",True,,,False,incorrect_subordinator,'that' cannot introduce an embedded question in this position; a wh-word is required.,False,wrong_word_order,"Places the wh-word after the infinitive instead of before it, reversing the required embedded-question order.",literary criticism,3,4,4,False,
Practice Test C,8,Structure,RELATIVE_CLAUSES,non-restrictive relative clause with correct relative pronoun and verb,parallel_coordinate_verbs_in_main_clause;non_restrictive_relative_clause,21,2,C,The relative pronoun plus finite verb correctly forms the non-restrictive relative clause modifying the subject.,False,missing_required_element,"Omits the relative pronoun needed to subordinate this verb, leaving an unconnected second finite verb.",False,double_subject,"Adds a redundant pronoun alongside the relative pronoun, duplicating the subject of the clause.",True,,,False,incorrect_relative_marker,'of which' is not licensed directly before a verb in this position.,anatomy/biology,3,4,3,False,
Practice Test C,9,Structure,CONNECTORS_CONJUNCTIONS,contrast connector selection (although vs. despite vs. however),parallel_prepositional_phrases;present_perfect_tense,23,2,D,The subordinating conjunction correctly introduces a full concessive clause expressing the contrast intended by the sentence.,False,incorrect_subordinator,"Combines two connector words, wrongly implying a temporal relation rather than the intended contrast.",False,incorrect_subordinator,Functions as a temporal boundary phrase rather than a connector expressing the required contrast.,False,wrong_complementation,"This connector is a preposition requiring a noun phrase, not a full clause with its own subject and verb.",True,,,furniture/design history,3,3,3,False,
Practice Test C,10,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification,infinitive_of_purpose;subordinate_time_clause,23,2,C,The subject noun phrase plus finite verb correctly forms the sentence's required main clause.,False,fragment,A non-finite participial phrase cannot serve as the sentence's main predicate.,False,fragment,"The relative pronoun subordinates the verb into a relative clause, leaving the sentence without a main verb.",True,,,False,missing_required_element,"This option is a bare noun phrase with no verb at all, leaving the clause without a predicate.",chemistry/combustion,3,4,3,False,
Practice Test C,11,Structure,RELATIVE_CLAUSES,relative clause introduced by 'where' with passive voice parallel to elliptical comparative ('than is gained'),elliptical_comparative_clause;relative_clause_introduced_by_where;passive_voice,17,3,D,The subject plus passive verb correctly completes the relative clause and parallels the passive form in the following elliptical comparative.,False,fragment,A bare noun phrase with no finite verb cannot complete the relative clause introduced by 'where'.,False,missing_required_element,"The verb lacks a subject, leaving the relative clause incomplete.",False,wrong_word_order,Applies inverted question-style order in a position that requires ordinary declarative subject-verb order.,True,,,earth science/desert ecology,4,4,4,False,
Practice Test C,12,Structure,REFERENCE_AND_DETERMINERS,quantifier 'both' as pre-determiner directly modifying plural noun,parallel_prepositional_phrases;gerund_object_of_preposition,17,2,B,"The quantifier directly precedes the plural noun it modifies, forming the correct pre-determiner pattern.",False,extraneous_element,"Adds a definite article before the quantifier, which is not permitted in this pre-determiner position.",True,,,False,missing_required_element,"Requires a determiner such as 'the' after 'of', which is missing before the bare plural noun.",False,extraneous_element,Adds a coordinating conjunction that is not licensed after the preceding comma and subordinate clause.,zoology/ornithology,2,4,2,False,
Practice Test C,13,Structure,INVERSION,subject-auxiliary inversion after fronted correlative 'not only' (not only...but also),relative_clause_on_object;correlative_conjunction_not_only_but_also,19,3,A,"The fronted correlative 'Not only' requires subject-auxiliary inversion, which this option correctly supplies.",True,,,False,fragment,"Supplies only the subject with no verb, leaving the clause without a predicate.",False,fragment,Adds a quantifier before the subject but still supplies no verb for the clause.,False,wrong_word_order,Uses ordinary declarative subject-verb order instead of the inversion required after the fronted correlative.,zoology/marine biology,4,3,4,False,
Practice Test C,14,Structure,INVERSION,inversion after fronted prepositional/source phrase,coordinate_independent_clauses;pronoun_reference_them,16,2,A,"The fronted prepositional phrase triggers inversion of the finite verb and subject, correctly forming the second coordinate clause.",True,,,False,wrong_complementation,Treats the intransitive verb as if it took a direct object and supplies no subject for the clause.,False,fragment,The infinitive is non-finite and cannot serve as the second coordinate main verb.,False,wrong_voice,"Passivizes a verb that does not take this passive construction, producing an illogical reading.",zoology/evolutionary biology,3,3,4,False,
Practice Test C,15,Structure,EXISTENTIAL_EXPLETIVE,expletive 'there + be' construction vs. pronoun/determiner,concessive_clause_although;coordinate_independent_clauses,20,3,C,The expletive 'there + be' construction correctly introduces the existence of the following plural quantity phrase.,False,missing_required_element,Omits the expletive subject and verb needed to open the independent clause.,False,fragment,Combines a wh-word with an adverb in a way that produces no valid clause opener.,True,,,False,missing_required_element,Adds a definite article before the number but still supplies no verb for the clause.,marine biology/zoology,4,3,3,False,
Practice Test D,1,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification in coordinate clause,parallel_tense_with_coordinate_clause;coordinating_conjunction_but,11,2,A,"The bare present-tense verb supplies the finite predicate needed for the subject 'others', matching the present tense of the coordinate verb 'lay' in the first clause.",True,,,False,fragment,"The present participle cannot serve as the finite verb the second coordinate clause requires, leaving it without a predicate.",False,double_subject,"Adds a redundant pronoun subject alongside the existing subject 'others', duplicating the subject slot.",False,fragment,The perfect infinitive is non-finite and cannot function as the main verb of the second clause.,biology/zoology (reptiles),2,3,2,False,
Practice Test D,2,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification following causal adverbial clause,causal_adverbial_clause_because;superlative_noun_phrase_with_infinitive_modifier,17,2,A,"Only this option supplies a genuine subject ('drawing') plus finite verb ('was'), forming the main clause required after the introductory 'Because' clause.",True,,,False,missing_required_element,"Places an infinitive phrase in subject position and omits the article/superlative needed before the following noun, leaving 'was probably art form' incomplete.",False,fragment,"Supplies no finite verb at all, so the sentence never receives the main predicate it needs after the introductory clause.",False,fragment,"Also lacks any finite verb, stacking a bare noun ('draw') directly before 'art form' with nothing to license the clause.",linguistics/communication and art,3,3,3,False,
Practice Test D,3,Structure,CONNECTORS_CONJUNCTIONS,temporal adverbial connector ('since then') vs. preposition/appositive marker,passive_voice;coordinating_conjunction_and,24,2,C,"The adverbial phrase correctly links the following independent clause to the earlier time reference, expressing 'from that point until now'.",False,incorrect_subordinator,"Turns the second clause into a subordinate one, so the coordination required by 'and' between two independent clauses is lost.",False,wrong_complementation,"This is a preposition requiring a noun-phrase object, not the finite clause that follows it here.",True,,,False,incorrect_subordinator,This appositive/clarifying marker does not logically connect the time reference to the following clause and produces an ungrammatical sequence before the subject.,astronomy,2,3,3,False,
Practice Test D,4,Structure,CLAUSE_STRUCTURE,subject-verb agreement across intervening relative clause,restrictive_relative_clause_on_subject;article_usage,21,2,C,"The singular, correctly articled subject agrees with the singular verb 'is' that follows the intervening relative clause.",False,agreement_error,"The plural, article-less subject disagrees with the singular verb 'is' later in the sentence.",False,fragment,"Adding the subordinator converts the entire clause into a subordinate clause, leaving no independent main clause.",True,,,False,missing_required_element,A prepositional phrase cannot serve as the subject that 'is jumping' requires.,psychology/business (problem solving),3,3,3,False,
Practice Test D,5,Structure,RELATIVE_CLAUSES,restrictive relative clause with correct relative pronoun (who) referring to human antecedent,embedded_noun_clause_as_object_of_preposition;human_antecedent,18,3,C,The subject relative pronoun for human antecedents correctly introduces the relative clause and supplies the subject for 'settled'.,False,incorrect_relative_marker,The object-of-preposition form leaves the following verb 'settled' without a subject.,False,incorrect_relative_marker,"This marker is used for non-human antecedents and, like (A), leaves 'settled' without a subject.",True,,,False,incorrect_relative_marker,"This relative pronoun is reserved for non-human antecedents, but 'the Pilgrims' is a human antecedent.",US history/anthropology,3,3,2,False,
Practice Test D,6,Structure,WORD_ORDER_MODIFICATION,appositive noun phrase placement and internal word order,non_restrictive_appositive;article_usage,20,1,D,"The bare article correctly introduces a non-restrictive appositive renaming 'Ross Macdonald', with no verb needed since the sentence's actual predicate is 'feature' later on.",False,extraneous_element,"Inserts an unlicensed finite verb into the appositive slot, producing an extra, ungrammatical predicate before the sentence's real verb.",False,extraneous_element,"Also inserts an unlicensed finite verb, and pairs it with the wrong article form for a consonant-initial noun.",False,extraneous_element,"Adds a pronoun subject, verb, and preposition that are not licensed in this appositive position.",True,,,literature/mystery fiction,2,3,2,False,
Practice Test D,7,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification following appositive-modified subject,infinitive_modifying_ordinal_noun;appositive_phrase;passive_voice,20,1,B,This option supplies the appositive renaming the subject together with the finite passive verb 'was completed' that the sentence needs as its main predicate.,False,fragment,"'completed in 1885' functions only as a participial modifier here, not a finite verb, leaving the sentence without an independent predicate.",True,,,False,fragment,"Adding the subordinator turns the remainder into a subordinate clause, leaving no independent main clause for the sentence.",False,missing_required_element,"Omits the finite verb entirely, so the sentence has no predicate at all after the appositive.",architecture/US history,3,3,3,False,
Practice Test D,8,Structure,NONFINITE_VERB_PHRASES,reduced active relative clause (present participial phrase modifying noun),reduced_from_relative_clause;active_voice,18,1,C,"The present participle correctly reduces a relative clause ('that begins with...') into a non-finite modifier describing 'metamorphosis', since the sentence's only finite verb is already 'undergoes'.",False,wrong_verb_form,The bare verb form cannot follow the noun directly without a subject or connector.,False,wrong_verb_form,"A finite past-tense verb appears with no conjunction linking it to 'undergoes', producing an unconnected second predicate.",True,,,False,wrong_voice,The passive finite form again creates an unconnected second predicate and reverses the expected active description of the metamorphosis.,biology/zoology (amphibian development),2,3,3,False,
Practice Test D,9,Structure,RELATIVE_CLAUSES,non-restrictive relative clause with possessive relative pronoun (whose + noun) as clause subject,non_restrictive_relative_clause;possessive_relative_pronoun,21,2,D,The possessive relative pronoun plus noun correctly forms the subject of the non-restrictive relative clause's verb 'combined'.,False,extraneous_element,"Introduces an expletive subject with no relative pronoun linking it back to 'Mahalia Jackson', fusing an unlicensed clause onto the sentence.",False,incorrect_relative_marker,"Uses the non-human relative determiner with a noun ('songs') that was never introduced, so it cannot refer back to Jackson.",False,missing_required_element,"The relative pronoun's own verb 'sang' uses up the clause's verb slot, leaving 'combined' with no subject or connector.",True,,,music/gospel biography,3,4,3,False,
Practice Test D,10,Structure,CONNECTORS_CONJUNCTIONS,exemplification connector ('such...as') introducing examples,exemplification;coordinating_conjunction_but,24,2,C,"'such materials as' correctly introduces the following list of examples (wood, glass, or plastic).",False,incorrect_subordinator,"'such...that' introduces a result clause, not a list of examples, so it does not fit what follows.",False,wrong_word_order,"Reorders 'such' after the noun, producing the fixed phrase 'as such' rather than the exemplifying construction needed here.",True,,,False,missing_required_element,"Omits 'as', the word required to introduce the following example list.",manufacturing/materials science,2,4,3,False,
Practice Test D,11,Structure,REFERENCE_AND_DETERMINERS,article selection (indefinite article introducing singular countable subject),fronted_locative_adverbial,13,1,B,The indefinite article correctly introduces the singular countable subject 'much fainter secondary rainbow'.,False,missing_required_element,This degree adverb cannot license the bare singular subject; the required article is absent.,True,,,False,fragment,"As a subordinator, this word turns the only available clause into a subordinate clause, leaving the sentence without an independent main clause.",False,missing_required_element,This adverb cannot function as the article the singular subject requires.,physics/optics (rainbows),2,2,2,False,
Practice Test D,12,Structure,NOUN_CLAUSES,that-clause as object complement (persuade + object + that-clause),restrictive_relative_clause_on_subject;infinitive_purpose_clause,25,3,A,"The that-clause correctly completes the 'persuade + object + that-clause' pattern, stating the content readers are to be persuaded of.",True,,,False,wrong_complementation,"The 'for...to' infinitive construction is not licensed as the complement of 'persuading...readers', which requires a that-clause.",False,wrong_word_order,"A bare infinitive complement is not licensed here, and it also reverses the expected noun-adjective order ('important poetry' vs. 'poetry is important').",False,missing_required_element,"Stacks a second noun phrase directly after 'readers' with no connector, producing an unlicensed double object.",literature/education (poetry readership),3,3,3,False,
Practice Test D,13,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification following introductory participial phrase,nonfinite_participial_phrase_opening;logical_subject_agreement_with_participle,23,1,B,"This option supplies the logical subject of the introductory participial phrase ('following the guidelines') together with a finite verb, correctly forming the main clause.",False,missing_required_element,"Opens with the coordinating conjunction 'and' with no prior clause to coordinate with, and supplies no subject for the verb 'avoid'.",True,,,False,wrong_word_order,"Uses interrogative subject-auxiliary inversion, which is not permitted in this declarative main-clause position.",False,missing_required_element,"The verb phrase appears with no subject preceding it, leaving the clause without a grammatical subject.",organizational governance/parliamentary procedure,3,3,4,False,
Practice Test D,14,Structure,NONFINITE_VERB_PHRASES,reduced non-restrictive relative clause with adverb + passive participle ('so called'),reduced_from_relative_clause;passive_voice;causal_adverbial_clause_because,14,2,D,'so called' correctly reduces a non-restrictive relative clause ('which is so called') into a passive participial phrase describing the preceding subject.,False,double_subject,"Combines the relative pronoun with a redundant subject pronoun before 'called', duplicating the subject slot.",False,extraneous_element,"Adds a full finite subject and verb, fusing an unlicensed second independent clause onto the first with only a comma.",False,incorrect_subordinator,"A contrastive coordinator is used where none is licensed, and no subject is present for 'called' to attach to.",True,,,chemistry/dyes,3,3,4,False,
Practice Test D,15,Structure,WORD_ORDER_MODIFICATION,adjective order within a noun phrase (coordinate adjectives + head noun),restrictive_relative_clause_on_object;participial_phrase_modifier,25,2,D,"The adjective-noun sequence correctly completes 'a powerful, expressive style', supplying the head noun 'style' that the following relative clause modifies.",False,missing_required_element,"Supplies only an adverb-adjective pair with no head noun, leaving the relative clause with nothing to modify.",False,wrong_word_order,"Reverses the required adjective-noun order and adds a redundant second article after 'a powerful,'.",False,missing_required_element,"Again supplies only an adverb-adjective pair, lacking the head noun needed to complete the phrase.",True,,,dance/performing arts biography,3,4,3,False,
Practice Test E,1,Structure,NOUN_CLAUSES,embedded wh-clause ('where') as subject complement,copular_sentence;no_inversion_in_embedded_clause,13,2,A,The wh-word introduces a noun clause with normal (uninverted) subject-verb order that serves as the subject complement of the linking verb 'is'.,True,,,False,extraneous_element,"Inserts a redundant pronoun 'it' before the wh-word, which has no grammatical role and duplicates the subject slot of the embedded clause.",False,wrong_word_order,"Applies subject-auxiliary inversion ('where is') inside the embedded clause, which is not permitted in a noun clause functioning as a complement.",False,extraneous_element,"Stacks a relative pronoun and linking verb ('which is') in front of the wh-word, producing a doubly marked, ungrammatical complement.",literature/poet biography,2,3,2,False,
Practice Test E,2,Structure,NONFINITE_VERB_PHRASES,infinitive complement after inchoative verb 'begin',adverbial_clause_of_time_or_cause;gerund_object_of_preposition,18,2,D,"The to-infinitive correctly completes the verb 'beginning', which licenses either a gerund or an infinitive complement.",False,wrong_complementation,"Substitutes a noun phrase plus a dangling relative marker 'that' with no following clause, which the verb 'beginning' cannot take as its complement.",False,extraneous_element,"Inserts a redundant object pronoun 'it' before the gerund, which is not licensed after 'beginning' in this pattern.",False,wrong_verb_form,"Uses the bare base form of the verb, which cannot follow 'beginning' without 'to' or an '-ing' ending.",True,,,business/marketing,2,3,2,False,
Practice Test E,3,Structure,COMPARATIVES_DEGREE,comparative adjective + infinitive complement + than-comparison ('more likely to be...than'),passive_infinitive;reason_clause_with_because,21,2,A,"The comparative form correctly precedes the passive infinitive and is followed by 'than', properly introducing the comparison target.",True,,,False,wrong_word_order,"Rearranges the comparative words so that 'more than' splits the infinitive phrase, leaving no 'than' available to introduce the comparison target.",False,missing_required_element,"Uses the fixed idiom 'more than likely', which absorbs 'than' internally and leaves no connector to link the following comparison target.",False,wrong_word_order,Scrambles the comparative and infinitive elements into an order that cannot attach grammatically to the following comparison target.,anatomy/health science,3,4,4,False,
Practice Test E,4,Structure,RELATIVE_CLAUSES,restrictive relative clause with relative pronoun + linking verb ('that is'),predicate_adjective_complement,19,2,B,The relative pronoun plus linking verb correctly introduces a restrictive relative clause modifying the preceding noun phrase.,False,missing_required_element,"Omits the relative pronoun, leaving a second finite verb with no connector to the first, producing a run-on.",True,,,False,double_subject,"Adds a redundant pronoun 'it' after the relative pronoun 'that', duplicating the subject of the relative clause.",False,extraneous_element,"Inserts an extra finite verb 'is' before a second, redundant relative marker, duplicating the predication.",botany,2,3,2,False,
Practice Test E,5,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification amid intervening participial phrase,participial_phrase_including,14,1,A,Only this option supplies the finite verb needed to complete the sentence's independent clause after the intervening 'including' phrase.,True,,,False,fragment,"The relative pronoun 'which' subordinates the verb into a relative clause, leaving the sentence without an independent main verb.",False,fragment,The '-ing' form 'having' is non-finite and cannot serve as the sentence's main predicate.,False,double_subject,"Adds a redundant pronoun subject that duplicates the sentence's actual subject, 'Many gases'.",chemistry/atmospheric science,2,3,2,False,
